"PK_DHFF_ESPECE";"CODE_N2000";"CD_NOM";"CD_REF";"ST_TAXON";"NOM_EVAL_2013";"LB_NOM";"LB_AUTEUR";"NOM_VERN";"NIV_TAX";"PRIORITAIRE";"ANNEXE_II";"ANNEXE_IV";"ANNEXE_V";"ALP";"ATL";"CON";"MED";"MATL";"MMED";"TERRE";"MER";"COMMENTAIRE";"NOM_DIRECTIVE"
188,00;"1423";"84494";"84494";"NV";"Asplenium jahandiezii";"Asplenium jahandiezii";"(Litard.) Rouy, 1913";"Doradille du Verdon";"Plantes";"false";"Y";"Y";"N";;;;1,00;;;"true";"false";;"Asplenium jahandiezii"
189,00;"1426";"130133";"130133";"NV";"Woodwardia radicans";"Woodwardia radicans";"(L.) Sm., 1793";"Woodwardia radicant";"Plantes";"false";"Y";"Y";"N";;;;1,00;;;"true";"false";;"Woodwardia radicans"
190,00;"1428";"107407";"107407";"NV";"Marsilea quadrifolia";"Marsilea quadrifolia";"L., 1753";"Marsilée à quatre feuilles";"Plantes";"false";"Y";"Y";"N";;1,00;1,00;;;;"true";"false";;"Marsilea quadrifolia"
191,00;"1429";"107409";"107409";"NV";"Marsilea strigosa";"Marsilea strigosa";"Willd., 1810";"Fougère d'eau pubescente à quatre feuilles";"Plantes";"false";"Y";"Y";"N";;;;1,00;;;"true";"false";;"Marsilea strigosa"
192,00;"1441";"119582";"119582";"NV";"Rumex rupestris";"Rumex rupestris";"Le Gall, 1850";"Oseille des rochers";"Plantes";"false";"Y";"Y";"N";;1,00;;;;;"true";"false";;"Rumex rupestris"
193,00;"1453";"83636";"83636";"NV";"Arenaria provincialis";"Arenaria provincialis";"Chater & G.Halliday, 1964";"Sabline de Provence";"Plantes";"false";"Y";"Y";"N";;;;1,00;;;"true";"false";;"Arenaria provincialis"
194,00;"1465";"123672";"123672";"NV";"Silene velutina";"Silene velutina";"Pourr. ex Loisel., 1809";"Silène velouté";"Plantes";"true";"Y";"Y";"N";;;;1,00;;;"true";"false";;"Silene velutina"
196,00;"1474";"718895";"83261";"SY";"Aquilegia bertolonii";"Aquilegia bertolonii";"auct. non Schott, 1853";"Ancolie de Bertoloni";"Plantes";"false";"Y";"Y";"N";15,00;;;15,00;;;"true";"false";"demande CTE/DB : Séparation de Aquilegia bertolonii Schott, endémique toscane, et de A. reuteri Boiss., endémique provençale. Rapportage pour A. bertolonii ou les 2 espèces ? Adopter approche commune avec l'Italie";"Aquilegia bertolonii"
199,00;"1493";"123905";"717179";"SY";"Sisymbrium supinum";"Sisymbrium supinum";"L., 1753";"Sisymbre couché";"Plantes";"false";"Y";"Y";"N";;1,00;1,00;;;;"true";"false";;"Sisymbrium supinum"
200,00;"1496";"86380";"86380";"NV";"Brassica insularis";"Brassica insularis";"Moris, 1837";"Chou insulaire";"Plantes";"false";"Y";"Y";"N";;;;1,00;;;"true";"false";;"Brassica insularis"
201,00;"1506";"86056";"86056";"NV";"Biscutella neustriaca";"Biscutella neustriaca";"Bonnet, 1879";"Biscutelle de Neustrie";"Plantes";"true";"Y";"Y";"N";;15,00;;;;;"true";"false";"demande CTE/DB : serait désormais à inclure dans B. laevigata subsp. varia, étendre le statut de B. neustriaca à l'ensemble de B. laevigata subsp. varia pour le rapportage ? Adopter approche commune avec l'Allemagne et la Belgique";"Biscutella neustriaca"
202,00;"1508";"81933";"103008";"SY";"Alyssum pyrenaicum";"Hormathophylla pyrenaica";"(Lapeyr.) Dudley & Cullen, 1965";"Alysson des Pyrénées";"Plantes";"false";"Y";"Y";"N";1,00;;;;;;"true";"false";;"Alyssum pyrenaicum"
204,00;"1527";"121054";"121054";"NV";"Saxifraga florulenta";"Saxifraga florulenta";"Moretti, 1823";"Saxifrage à fleurs nombreuses";"Plantes";"false";"Y";"Y";"N";1,00;;;;;;"true";"false";;"Saxifraga florulenta"
205,00;"1528";"121076";"121076";"NV";"Saxifraga hirculus";"Saxifraga hirculus";"L., 1753";"Saxifrage oeil-de-bouc";"Plantes";"false";"Y";"Y";"N";;;1,00;;;;"true";"false";;"Saxifraga hirculus"
206,00;"1534";"115458";"115458";"NV";"Potentilla delphinensis";"Potentilla delphinensis";"Gren. & Godr., 1848";"Potentille du Dauphiné";"Plantes";"false";"Y";"Y";"N";1,00;;;;;;"true";"false";;"Potentilla delphinensis"
207,00;"1545";"127469";"127469";"NV";"Trifolium saxatile";"Trifolium saxatile";"All., 1773";"Trèfle des rochers";"Plantes";"false";"Y";"Y";"N";1,00;;;;;;"true";"false";;"Trifolium saxatile"
209,00;"1581";"104707";"104707";"NV";"Kosteletzkya pentacarpos";"Kosteletzkya pentacarpos";"(L.) Ledeb., 1842";"Hibiscus à cinq fruits";"Plantes";"false";"Y";"Y";"N";;;;1,00;;;"true";"false";;"Kosteletzkya pentacarpos"
210,00;"1585";"129587";"129587";"NV";"Viola hispida";"Viola hispida";"Lam., 1779";"Violette de Rouen";"Plantes";"true";"Y";"Y";"N";;1,00;;;;;"true";"false";;"Viola hispida"
211,00;"1603";"97152";"97152";"NV";"Eryngium viviparum";"Eryngium viviparum";"J.Gay, 1848";"Panicaut nain vivipare";"Plantes";"true";"Y";"Y";"N";;1,00;;;;;"true";"false";;"Eryngium viviparum"
212,00;"1604";"97133";"97133";"NV";"Eryngium alpinum";"Eryngium alpinum";"L., 1753";"Panicaut des Alpes";"Plantes";"false";"Y";"Y";"N";1,00;;1,00;;;;"true";"false";;"Eryngium alpinum"
213,00;"1607";"82715";"82715";"NV";"Angelica heterocarpa";"Angelica heterocarpa";"J.Lloyd, 1859";"Angélique à fruits variables";"Plantes";"true";"Y";"Y";"N";;1,00;;;;;"true";"false";;"Angelica heterocarpa"
214,00;"1608";"118900";"118900";"NV";"Rouya polygama";"Rouya polygama";"(Desf.) Coincy, 1901";"Thapsie de Rouy";"Plantes";"false";"Y";"Y";"N";;;;1,00;;;"true";"false";;"Rouya polygama"
215,00;"1614";"83215";"101223";"SY";"Apium repens";"Helosciadium repens";"(Jacq.) W.D.J.Koch, 1824";"Ache rampante";"Plantes";"false";"Y";"Y";"N";;1,00;1,00;;;;"true";"false";;"Apium repens"
216,00;"1618";"89191";"608144";"SY";"Thorella verticillatinundata";"Caropsis verticillato-inundata";"(Thore) Rauschert, 1982";"Faux cresson de Thore";"Plantes";"false";"Y";"Y";"N";;1,00;;;;;"true";"false";;"Thorella verticillatinundata"
217,00;"1625";"124144";"124144";"NV";"Soldanella villosa";"Soldanella villosa";"Darracq, 1850";"Grande soldanelle";"Plantes";"false";"Y";"Y";"N";;1,00;;;;;"true";"false";;"Soldanella villosa"
219,00;"1632";"82531";"82531";"NV";"Androsace pyrenaica";"Androsace pyrenaica";"Lam., 1792";"Androsace des Pyrénées";"Plantes";"false";"Y";"Y";"N";1,00;;;;;;"true";"false";;"Androsace pyrenaica"
220,00;"1636";"83852";"83852";"NV";"Armeria soleirolii";"Armeria soleirolii";"(Duby) Godr., 1853";"Arméria de Soleirol";"Plantes";"false";"Y";"Y";"N";;;;1,00;;;"true";"false";;"Armeria soleirolii"
221,00;"1643";"106105";"106105";"NV";"Limonium strictissimum";"Limonium strictissimum";"(Salzm.) Arrigoni, 1990";"Statice à feuilles raides";"Plantes";"true";"Y";"Y";"N";;;;1,00;;;"true";"false";;"Limonium strictissimum"
222,00;"1656";"99899";"99899";"NV";"Gentiana ligustica";"Gentiana ligustica";"R.Vilm. & Chopinet, 1956";"Gentiane de Ligurie";"Plantes";"false";"Y";"Y";"N";1,00;;;1,00;;;"true";"false";;"Gentiana ligustica"
224,00;"1674";"82376";"82376";"NV";"Anchusa crispa";"Anchusa crispa";"Viv., 1825";"Buglosse crépue";"Plantes";"true";"Y";"Y";"N";;;;1,00;;;"true";"false";;"Anchusa crispa"
225,00;"1676";"110070";"110070";"NV";"Omphalodes littoralis";"Omphalodes littoralis";"Lehm., 1818";"Cynoglosse des dunes";"Plantes";"true";"Y";"Y";"N";;1,00;;;;;"true";"false";;"Omphalodes littoralis"
226,00;"1689";"95398";"95398";"NV";"Dracocephalum austriacum";"Dracocephalum austriacum";"L., 1753";"Dracocéphale d'Autriche";"Plantes";"false";"Y";"Y";"N";1,00;;;1,00;;;"true";"false";;"Dracocephalum austriacum"
227,00;"1715";"106171";"137330";"SY";"Linaria flava";"Linaria flava subsp. sardoa";"(Sommier) A.Terracc., 1930";"Linaire jaune";"Plantes";"false";"Y";"Y";"N";;;;1,00;;;"true";"false";"Seulement la sous-espèce Corse!";"Linaria flava"
228,00;"1720";"97754";"97775";"SY";"Euphrasia genargentea";"Euphrasia nana";"(Rouy) Prain, 1913";"Euphraise naine";"Plantes";"true";"Y";"Y";"N";;;;1,00;;;"true";"false";;"Euphrasia genargentea"
230,00;"1746";"89889";"89889";"NV";"Centranthus trinervis";"Centranthus trinervis";"(Viv.) Bég., 1903";"Centranthe à trois nervures";"Plantes";"false";"Y";"Y";"N";;;;1,00;;;"true";"false";;"Centranthus trinervis"
231,00;"1758";"105908";"105908";"NV";"Ligularia sibirica";"Ligularia sibirica";"(L.) Cass., 1823";"Ligulaire de Sibérie";"Plantes";"false";"Y";"Y";"N";1,00;;1,00;;;;"true";"false";;"Ligularia sibirica"
234,00;"1801";"89567";"89567";"NV";"Centaurea corymbosa";"Centaurea corymbosa";"Pourr., 1788";"Centaurée de la Clape";"Plantes";"false";"Y";"Y";"N";;;;1,00;;;"true";"false";;"Centaurea corymbosa"
235,00;"1802";"84699";"84699";"NV";"Aster pyrenaeus";"Aster pyrenaeus";"Desf. ex DC., 1805";"Aster des Pyrénées";"Plantes";"true";"Y";"Y";"N";1,00;;;;;;"true";"false";;"Aster pyrenaeus"
236,00;"1831";"106807";"106807";"NV";"Luronium natans";"Luronium natans";"(L.) Raf., 1840";"Flûteau nageant";"Plantes";"false";"Y";"Y";"N";;1,00;1,00;;;;"true";"false";;"Luronium natans"
237,00;"1832";"87417";"87417";"NV";"Caldesia parnassifolia";"Caldesia parnassifolia";"(L.) Parl., 1860";"Caldésie à feuilles de Parnassie";"Plantes";"false";"Y";"Y";"N";;1,00;1,00;;;;"true";"false";;"Caldesia parnassifolia"
243,00;"1868";"138029";"148872";"SY";"Narcissus triandrus ssp. capax";"Narcissus triandrus subsp. capax";"(Salisb. ex Sweet) D.A.Webb, 1978";"Narcisse des Glénan";"Plantes";"false";"Y";"Y";"N";;1,00;;;;;"true";"false";;"Narcissus triandrus ssp. capax"
245,00;"1887";"92171";"92171";"NV";"Coleanthus subtilis";"Coleanthus subtilis";"(Tratt.) Seidl, 1817";"Coléanthe délicat";"Plantes";"false";"Y";"Y";"N";;1,00;;;;;"true";"false";;"Coleanthus subtilis"
247,00;"1902";"94041";"94041";"NV";"Cypripedium calceolus";"Cypripedium calceolus";"L., 1753";"Sabot de Vénus";"Plantes";"false";"Y";"Y";"N";1,00;;1,00;1,00;;;"true";"false";;"Cypripedium calceolus"
248,00;"1903";"106353";"106353";"NV";"Liparis loeselii";"Liparis loeselii";"(L.) Rich., 1817";"Liparis de Loesel";"Plantes";"false";"Y";"Y";"N";1,00;1,00;1,00;1,00;;;"true";"false";;"Liparis loeselii"
249,00;"1926";"222052";"222052";"NV";"Stephanopachys linearis";"Stephanopachys linearis";"(Kugelann, 1792)";"Bostryche ";"Invertébrés";"false";"Y";"N";"N";1,00;;;1,00;;;"true";"false";"demande CTE/DB : espèce évaluée en MED en 2007, à maintenir sur la liste";"Stephanopachys linearis"
250,00;"1927";"222054";"222054";"NV";"Stephanopachys substriatus";"Stephanopachys substriatus";"(Paykull, 1800)";"Bostryche ";"Invertébrés";"false";"Y";"N";"N";1,00;;;;;;"true";"false";;"Stephanopachys substriatus"
264,00;"5377";"223028";"8451";"SY";"Carabus (variolosus) nodulosus";"Carabus variolosus";"Fabricius, 1787";"Carabe noduleux";"Invertébrés";"false";"Y-CTC";"Y-CTC";"N";1,00;;1,00;;;;"true";"false";"LR-ALP,CON. Imbroglio taxinomique!";"Carabus variolosus"
266,00;"4026";"222951";"222951";"NV";"Rhysodes sulcatus";"Rhysodes sulcatus";"(Fabricius, 1787)";;"Invertébrés";"false";"Y";"N";"N";1,00;;1,00;;;;"true";"false";"Ajout suite à l'élargissement de l'UE";"Rhysodes sulcatus"
267,00;"4035";"416963";"416963";"NV";"Gortyna borelii lunata";"Gortyna borelii lunata";"(Freyer, 1839)";"Noctuelle des Peucédans";"Invertébrés";"false";"Y";"Y";"N";;1,00;;1,00;;;"true";"false";"Ajout suite à l'élargissement de l'UE. Selon P. Dupont : espèce considérée comme éteinte. Voir avec Piotr si infos récentes, sinon décocher la case";"Gortyna borelii lunata"
268,00;"4038";"53976";"53976";"NV";"Lycaena helle";"Lycaena helle";"(Denis & Schiffermüller, 1775)";"Cuivré de la Bistorte";"Invertébrés";"false";"Y";"Y";"N";1,00;;1,00;;;;"true";"false";"Ajout suite à l'élargissement de l'UE";"Lycaena helle"
269,00;"4045";"65139";"65139";"NV";"Coenagrion ornatum";"Coenagrion ornatum";"(Selys, 1850)";"Agrion orné";"Invertébrés";"true";"Y";"N";"N";;;1,00;;;;"true";"false";"Ajout suite à l'élargissement de l'UE. Zone biogéographique à confirmer";"Coenagrion ornatum"
270,00;"4056";"64098";"64098";"NV";"Anisus vorticulus";"Anisus vorticulus";"(Troschel, 1834)";"Planorbe naine";"Invertébrés";"false";"Y";"Y";"N";;1,00;1,00;;;;"true";"false";"Annexe II? Non indiqué en 2007";"Anisus vorticulus"
272,00;"4096";"100278";"100278";"NV";"Gladiolus palustris";"Gladiolus palustris";"Gaudin, 1828";"Glaïeul des marais";"Plantes";"false";"Y";"Y";"N";1,00;;1,00;;;;"true";"false";"Ajout suite à l'élargissement de l'UE";"Gladiolus palustris"
312,00;"1013";"334178";"334178";"NV";"Vertigo geyeri";"Vertigo geyeri";"Lindholm, 1925";;"Invertébrés";"false";"Y";"N";"N";;;;;;;"true";"false";"Remplace 1871";"Vertigo geyeri"
313,00;"6176";"610608";"610608";"NV";"Acis nicaeensis";"Acis nicaeensis";"(Ardoino) Lledo, A.P.Davis & M.B.Crespo, 2004";"Nivéole de Nice";"Plantes";"false";"Y-CTC";"Y-CTC";"N";;;;1,00;;;"true";"false";"Remplace 1871";"Leucojum nicaeense"
311,00;"1108";"199193";"200257";"SY";"Salmo macrostigma";"Salmo macrostigma";;"Truite à grosses taches";"Poissons";"false";"Y-CTC";"N";"N";;;;1,00;;;"true";"false";"Ligne rajouté temporairement.
A clarifier avec le centre thématique";"Salmo macrostigma"
314,00;"6313";"130784";"130784";"NV";"Aconitum napellus ssp. corsicum";"Aconitum napellus subsp. corsicum";"(Gáyer) Seitz, 1969";"Aconit de Corse";"Plantes";"true";"Y";"Y";"N";;;;1,00;;;"true";"false";"Remplace 1475";"Aconitum corsicum (Aconitum napellus ssp. corsicum)"
315,00;"6170";"159446";"159446";"NV";"Actias isabellae";"Actias isabellae";"(Graells, 1849)";"Isabelle de France";"Invertébrés";"false";"Y-CTC";"N";"Y-CTC";1,00;;;1,00;;;"true";"false";"Remplace 1075";"Graellsia isabellae"
316,00;"6269";"84791";"84791";"NV";"Astragalus alopecurus";"Astragalus alopecurus";"Pall., 1800";"Astragale queue-de-renard";"Plantes";"false";"Y-CTC";"Y-CTC";"N";1,00;;;1,00;;;"true";"false";"Remplace 1557";"Astragalus centralpinus"
317,00;"5318";"416655";"416655";"NV";"Cottus aturi";"Cottus aturi";"Freyhof, Kottelat & Nolte, 2005";"Chabot de l'Adour";"Poissons";"false";"Y-CTC";"N";"N";;;;;;;"true";"false";"Splittage de Cotus gobio: REPARTITION SUR BASSIN ADOUR";"Cottus gobio"
318,00;"5316";"416656";"416656";"NV";"Cottus duranii";"Cottus duranii";"Freyhof, Kottelat & Nolte, 2005";"Chabot de Dordogne";"Poissons";"false";"Y-CTC";"N";"N";;;;;;;"true";"false";"Splittage de Cotus gobio: REPARTITION SUR MASSIF CENTRAL DORDOGNE";"Cottus gobio"
319,00;"5317";"348102";"348102";"NV";"Cottus hispaniolensis";"Cottus hispaniolensis";"Bacescu & Bacescu-Mester, 1964";"Chabot pyrénéen";"Poissons";"false";"Y-CTC";"N";"N";;;;;;;"true";"false";"Splittage de Cotus gobio: REPARTITION SUR PYRENEES GARONNE";"Cottus gobio"
320,00;"5315";"416658";"416658";"NV";"Cottus perifretum";"Cottus perifretum";"Freyhof, Kottelat & Nolte, 2005";;"Poissons";"false";"Y-CTC";"N";"N";;;;;;;"true";"false";"Splittage de Cotus gobio: REPARTITION GD OUEST";"Cottus gobio"
321,00;"5325";"459645";"459645";"NV";"Cottus rhenanus";"Cottus rhenanus";"Freyhof, Kottelat & Nolte, 2005";"Chabot du Rhin";"Poissons";"false";"Y-CTC";"N";"N";;;;;;;"true";"false";"Splittage de Cotus gobio: REPARTITION RHIN MEUSE";"Cottus gobio"
322,00;"5314";"416657";"416657";"NV";"Cottus rondeleti";"Cottus rondeleti";"Freyhof, Kottelat & Nolte, 2005";"Chabot de l'Hérault";"Poissons";"false";"Y-CTC";"N";"N";;;;;;;"true";"false";"Splittage de Cotus gobio: REPARTITION BASSIN HERAULT";"Cottus gobio"
323,00;"6137";"79271";"79271";"NV";"Euleptes europaea";"Euleptes europaea";"(Gené, 1839)";"Eulepte d'Europe";"Reptiles";"false";"Y-CTC";"Y-CTC";"N";;;;1,00;;;"true";"false";"Remplace 1229";"Phyllodactylus europaeus"
324,00;"6169";"53856";"53856";"NV";"Euphydryas maturna";"Euphydryas maturna";"(Linnaeus, 1758)";"Damier du Frêne";"Invertébrés";"false";"Y-CTC";"Y-CTC";"N";;1,00;1,00;;;;"true";"false";"Remplace 1052";"Hypodryas maturna"
325,00;"6199";"159442";"159442";"NV";"Euplagia quadripunctaria";"Euplagia quadripunctaria";"(Poda, 1761)";"Écaille chinée";"Invertébrés";"true";"Y";"N";"N";1,00;1,00;1,00;1,00;;;"true";"false";"Remplace 1078";"Callimorpha (Euplagia, Panaxia) quadripunctaria"
326,00;"6216";"159445";"159445";"NV";"Hamatocaulis vernicosus";"Hamatocaulis vernicosus";"(Mitt.) Hedenäs";"Hypne brillante";"Plantes";"false";"Y";"N";"N";1,00;;1,00;;;;"true";"false";"Remplace 1393";"Drepanocladus (Hamatocaulis) vernicosus"
326,00;"6217";"101417";"101417";"NV";"Herniaria litardierei";"Herniaria litardierei";"(Gamisans) Greuter & Burdet, 1982";"Herniaire de Litardière";"Plantes";"true";"Y-CTC";"Y-CTC";"N";;;;1,00;;;"true";"false";"Remplace 1466";"Herniaria latifolia ssp. litardierei"
328,00;"5259";"79285";"79285";"NV";"Iberolacerta bonnali";"Iberolacerta bonnali";"(Lantz, 1927)";"Lézard pyrénéen de Bonnal";"Reptiles";"false";"Y-CTC";"Y-CTC";"N";1,00;;;;;;"true";"false";"Remplace 1995 REVOIR DISTRIBUTION";"Lacerta bonnali (Lacerta monticola)"
329,00;"6282";"717782";"717782";"NV";"Klasea lycopifolia";"Klasea lycopifolia";"(Vill.) Á.Löve & D.Löve";"Serratule à feuilles de Chanvre d'eau";"Plantes";"true";"Y-CTC";"Y-CTC";"N";;;;1,00;;;"true";"false";"Remplace 4087. ";"Serratula lycopifolia"
330,00;"6150";"458701";"458701";"NV";"Parachondrostoma toxostoma";"Parachondrostoma toxostoma";"(Vallot, 1837)";"Toxostome";"Poissons";"false";"Y-CTC";"N";"N";1,00;1,00;1,00;1,00;;;"true";"false";"Remplace 1126";"Chondrostoma toxostoma"
331,00;"6179";"626169";"54089";"SY";"Phengaris nausithous";"Phengaris nausithous";"(Bergsträsser, 1779)";"Azuré des paluds";"Invertébrés";"false";"Y-CTC";"Y-CTC";"N";1,00;;1,00;;;;"true";"false";"Remplace 1061";"Maculinea nausithous"
332,00;"6177";"631135";"54087";"SY";"Phengaris teleius";"Phengaris teleius";"(Bergsträsser, 1779)";"Azuré de la Sanguisorbe";"Invertébrés";"false";"Y-CTC";"Y-CTC";"N";1,00;1,00;1,00;1,00;;;"true";"false";"Remplace 1059";"Maculinea teleius"
333,00;"5339";"67420";"67420";"NV";"Rhodeus amarus";"Rhodeus amarus";"(Bloch, 1782)";"Bouvière";"Poissons";"false";"Y-CTC";"N";"N";;1,00;1,00;1,00;;;"true";"false";"Remplace 1134";"Rhodeus sericeus amarus"
334,00;"6211";"79251";"79251";"NV";"Speleomantes strinatii";"Speleomantes strinatii";"(Aellen, 1958)";"Spélerpès de Strinati";"Amphibiens";"false";"Y";"Y";"N";1,00;;;1,00;;;"true";"false";"Remplace 1994";"Hydromantes (Speleomantes) strinatii"
335,00;"6147";"67335";"67335";"NV";"Telestes souffia";"Telestes souffia";"(Risso, 1827)";"Blageon";"Poissons";"false";"Y-CTC";"N";"N";1,00;;1,00;1,00;;;"true";"false";"Remplace 1131";"Leuciscus souffia"
340,00;"1015";"334177";"334177";"NV";"Vertigo genesii ";"Vertigo genesii ";"(Gredler, 1856)";"Vertigo édenté";"Invertébrés";"false";"Y";"N";"N";;;1,00;;;;"true";"false";;"Vertigo genesii"
339,00;"1086";"159452";"159452";"NV";"Cucujus cinnaberinus";"Cucujus cinnaberinus";"(Scopoli, 1763)";"Cucujus vermillon";"Invertébrés";"false";"Y";"Y";"N";;;1,00;;;;"true";"false";;"Cucujus cinnaberinus"
